cid,month,spending,transaction
1,3,52.57,27
1,4,76.98,24
1,7,66.42,26
1,8,54.54,26
1,9,128.21,27
1,10,49.57,18
1,11,288.44,37
2,1,186.01,37
2,2,43.30,28
2,3,75.66,35
2,4,58.60,24
2,6,65.07,27
2,9,66.13,25
2,11,38.68,42
2,12,37.60,48
3,1,66.19,28
3,4,59.15,25
3,7,42.07,17
3,8,141.75,26
3,9,159.92,51
3,11,52.42,21
4,1,60.07,25
4,8,83.96,23
4,10,38.35,24
4,12,163.17,29
5,1,53.08,18
5,4,64.12,26
5,6,59.17,33
5,7,67.24,33
5,8,99.41,30
5,10,284.20,29
6,3,42.56,32
6,7,57.73,24
6,8,75.09,38
6,10,34.68,23
6,11,48.29,16
7,1,72.75,23
7,2,59.78,20
7,3,93.01,23
7,5,49.95,18
7,6,128.62,31
7,7,73.83,32
7,9,153.33,53
7,11,138.67,30
7,12,114.36,62
8,2,179.12,30
8,3,89.98,22
8,4,108.81,30
8,6,79.00,33
8,8,167.48,27
8,10,108.32,31
8,12,96.88,37
9,4,45.92,32
9,5,99.74,26
9,6,340.24,29
9,11,93.57,21
9,12,138.82,38
10,2,91.88,40
10,3,80.89,36
10,6,144.65,31
10,7,51.56,20
10,8,54.36,28
10,10,37.52,24
10,12,54.09,25
11,1,80.93,24
11,2,177.94,28
11,3,66.86,19
11,5,70.30,40
11,6,117.58,28
11,7,104.67,44
11,8,66.60,47
11,9,75.47,20
11,10,91.88,29
11,11,57.18,26
11,12,85.62,46
12,1,124.86,25
12,3,64.88,22
12,6,47.89,24
12,8,113.17,25
12,10,50.51,20
12,12,46.25,24
13,1,75.12,57
13,2,144.54,27
13,4,44.91,23
13,5,42.55,20
13,6,65.52,45
13,7,77.10,28
13,9,33.19,20
13,10,147.81,29
13,11,327.84,33
14,1,48.99,32
14,2,78.38,21
14,4,49.41,32
14,5,377.78,38
14,6,75.36,44
14,7,64.48,31
14,8,46.83,19
14,9,67.33,30
14,10,81.79,31
14,12,44.33,27
15,3,87.34,32
15,5,88.06,29
15,6,41.53,28
15,7,258.02,35
15,8,95.25,29
15,9,246.23,31
15,10,146.42,31
15,12,68.55,41
16,1,39.90,22
16,2,34.92,32
16,4,54.40,34
16,5,259.50,46
16,6,93.35,33
16,9,267.81,39
16,10,60.01,35
16,11,133.80,36
17,2,99.51,37
17,3,98.17,44
17,4,90.10,46
17,7,68.71,51
17,8,133.28,32
17,12,99.24,25
18,1,75.99,30
18,5,61.98,33
18,6,103.83,30
18,8,73.52,27
18,9,137.66,32
18,11,112.98,55
18,12,107.58,31
19,1,162.60,30
19,2,69.25,37
19,3,244.79,30
19,4,93.16,44
19,5,216.87,26
19,7,89.30,27
19,8,108.27,30
19,9,31.91,22
19,10,41.66,63
19,11,136.96,24
19,12,66.17,36
20,3,46.63,29
20,5,86.30,35
20,6,82.80,33
20,8,133.01,29
20,9,113.59,36
20,10,64.44,37
20,11,77.39,21
21,7,51.74,17
21,8,52.52,19
21,10,35.23,18
22,1,82.18,26
22,2,351.07,32
22,3,38.81,36
22,8,56.12,55
22,9,78.19,22
22,10,92.08,33
22,11,126.96,24
22,12,125.65,23
23,2,99.60,22
23,3,32.27,31
23,4,58.02,21
23,5,40.79,20
23,7,139.96,23
23,10,83.43,25
24,1,58.12,25
24,3,33.00,14
24,6,50.85,17
25,2,100.67,29
25,3,80.53,31
25,5,65.35,35
25,7,155.72,86
25,8,151.63,29
25,11,191.42,28
26,2,70.36,37
26,5,158.16,28
26,6,59.55,31
26,7,221.14,34
26,8,54.57,19
26,9,91.21,25
26,12,58.00,31
27,1,211.42,26
27,3,240.85,39
27,4,223.43,41
27,6,230.89,47
27,7,42.82,45
27,8,106.63,27
27,10,41.45,20
27,11,150.19,43
27,12,118.18,24
28,3,56.98,23
28,4,198.52,38
28,5,55.01,18
28,7,63.87,20
28,8,41.94,22
28,9,53.57,27
28,12,143.82,24
29,1,45.71,28
29,4,48.70,16
29,5,69.78,26
29,6,43.36,17
29,8,116.15,30
29,9,47.12,31
29,11,67.29,25
29,12,147.22,25
30,1,55.81,33
30,2,46.10,35
30,3,141.66,48
30,5,62.26,28
30,7,86.34,32
30,8,66.54,19
